BottomTier,MiddleTier,TopTier,Lstate1,Date1,B_DiffPrevMonth,B_60DayChange,B_90DayChange,M_DiffPrevMonth,M_60DayChange,M_90DayChange,T_DiffPrevMonth,T_60DayChange,T_90DayChange,B_PrincipalMonthly,B_AvgMortgage,B_InterestMonthly,M_PrincipalMonthly,M_AvgMortgage,M_InterestMonthly,T_PrincipalMonthly,T_AvgMortgage,T_InterestMonthly,R_Monthly,CityName,R_DiffPrevMonth,R_60DayChange,R_90DayChange
132318,261606,390894,TX,11/1/2020,1386,2610,3577,2725,5099,6942,4063,7587,10307,367,1139.405,772.405,726,2252.718333,1526.718333,1085,3366.031667,2281.031667,1460,Dallas-Fort Worth,11,321,91
132388,237416,342444,WI,12/1/2020,1402,2814,4027,2345,4726,6742,3288,6637,9456,367,1140.007778,773.0077778,659,2044.415556,1385.415556,951,2948.823333,1997.823333,1172,Milwaukee,-12,-162,-119
132388,237416,342444,WI,12/1/2020,1402,2814,4027,2345,4726,6742,3288,6637,9456,367,1140.007778,773.0077778,659,2044.415556,1385.415556,951,2948.823333,1997.823333,1333,Madison,161,149,-1
132422,233711,335000,MN,2/1/2016,674,1490,2186,1042,2348,3374,1409,3205,4562,367,1140.300556,773.3005555,649,2012.511389,1363.511389,930,2884.722222,1954.722222,1308,Minneapolis-St Paul,11,14,9
132432,398933,665434,NY,10/1/2017,525,1033,1558,1746,3433,5269,2966,5832,8979,367,1140.386667,773.3866667,1108,3435.256389,2327.256389,1848,5730.126111,3882.126111,967,Syracuse,-11,-96,-1635
132432,398933,665434,NY,10/1/2017,525,1033,1558,1746,3433,5269,2966,5832,8979,367,1140.386667,773.3866667,1108,3435.256389,2327.256389,1848,5730.126111,3882.126111,998,Buffalo,-1585,-60,31
132432,398933,665434,NY,10/1/2017,525,1033,1558,1746,3433,5269,2966,5832,8979,367,1140.386667,773.3866667,1108,3435.256389,2327.256389,1848,5730.126111,3882.126111,1058,Rochester,91,80,-5
132432,398933,665434,NY,10/1/2017,525,1033,1558,1746,3433,5269,2966,5832,8979,367,1140.386667,773.3866667,1108,3435.256389,2327.256389,1848,5730.126111,3882.126111,1184,Albany,186,-1399,126
132432,398933,665434,NY,10/1/2017,525,1033,1558,1746,3433,5269,2966,5832,8979,367,1140.386667,773.3866667,1108,3435.256389,2327.256389,1848,5730.126111,3882.126111,2583,New York,1525,1616,1605
132605,239403,346201,NM,10/1/2019,385,1014,1794,596,1602,2841,807,2189,3887,368,1141.876389,773.8763888,665,2061.525833,1396.525833,961,2981.175278,2020.175278,1097,Albuquerque,2,3,9
132719,234701,336684,AZ,6/1/2015,698,1859,3140,947,2783,4843,1196,3707,6547,368,1142.858056,774.8580555,651,2021.036389,1370.036389,935,2899.223333,1964.223333,955,Tucson,2,-71,-64
132719,234701,336684,AZ,6/1/2015,698,1859,3140,947,2783,4843,1196,3707,6547,368,1142.858056,774.8580555,651,2021.036389,1370.036389,935,2899.223333,1964.223333,1030,Phoenix,75,77,4
132776,223713,314650,NV,3/1/2014,1058,2271,3602,1559,3347,5322,2059,4423,7041,368,1143.348889,775.3488888,621,1926.4175,1305.4175,874,2709.486111,1835.486111,968,Las Vegas,2,7,
132910,239896,346883,NM,11/1/2019,305,690,1319,493,1089,2095,682,1489,2871,369,1144.502778,775.5027778,666,2065.771111,1399.771111,963,2987.048056,2024.048056,1092,Albuquerque,-5,-3,-2
132932,272418,411904,NC,4/1/2021,1890,3697,5374,3947,7683,11119,6004,11669,16864,369,1144.692222,775.6922222,756,2345.821667,1589.821667,1144,3546.951111,2402.951111,1329,Greensboro,-128,-104,28
132932,272418,411904,NC,4/1/2021,1890,3697,5374,3947,7683,11119,6004,11669,16864,369,1144.692222,775.6922222,756,2345.821667,1589.821667,1144,3546.951111,2402.951111,1381,Durham,52,-76,-52
132932,272418,411904,NC,4/1/2021,1890,3697,5374,3947,7683,11119,6004,11669,16864,369,1144.692222,775.6922222,756,2345.821667,1589.821667,1144,3546.951111,2402.951111,1407,Winston-Salem,26,78,-50
132932,272418,411904,NC,4/1/2021,1890,3697,5374,3947,7683,11119,6004,11669,16864,369,1144.692222,775.6922222,756,2345.821667,1589.821667,1144,3546.951111,2402.951111,1457,Raleigh,24,156,108
132932,272418,411904,NC,4/1/2021,1890,3697,5374,3947,7683,11119,6004,11669,16864,369,1144.692222,775.6922222,756,2345.821667,1589.821667,1144,3546.951111,2402.951111,1519,Charlotte,112,138,190
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1176,Jacksonville,-154,-10,13
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1186,Daytona Beach,23,-151,18
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1193,Lakeland,17,-137,7
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1206,Melbourne,13,30,-124
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1291,Tampa,-179,-71,-161
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1330,Fort Myers,144,167,-7
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1362,Orlando,-90,-396,156
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1452,North Port-Sarasota-Bradenton,-306,246,259
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1470,Port St. Lucie,108,18,-288
132999,260536,388074,FL,5/1/2017,1008,2012,2930,1380,2776,3996,1752,3540,5063,369,1145.269167,776.2691667,723,2243.504444,1520.504444,1077,3341.748333,2264.748333,1758,Miami-Fort Lauderdale,552,565,582
133043,234627,336212,MN,3/1/2016,621,1295,2111,916,1958,3264,1212,2621,4417,369,1145.648056,776.6480555,651,2020.399167,1369.399167,933,2895.158889,1962.158889,1319,Minneapolis-St Paul,11,22,25
133045,400554,668064,NY,11/1/2017,613,1138,1646,1621,3367,5054,2630,5596,8462,369,1145.665278,776.6652778,1112,3449.215,2337.215,1855,5752.773333,3897.773333,991,Buffalo,-179,-193,-7
133045,400554,668064,NY,11/1/2017,613,1138,1646,1621,3367,5054,2630,5596,8462,369,1145.665278,776.6652778,1112,3449.215,2337.215,1855,5752.773333,3897.773333,1004,Syracuse,-59,-1561,13
133045,400554,668064,NY,11/1/2017,613,1138,1646,1621,3367,5054,2630,5596,8462,369,1145.665278,776.6652778,1112,3449.215,2337.215,1855,5752.773333,3897.773333,1063,Rochester,-1502,72,-107
133045,400554,668064,NY,11/1/2017,613,1138,1646,1621,3367,5054,2630,5596,8462,369,1145.665278,776.6652778,1112,3449.215,2337.215,1855,5752.773333,3897.773333,1170,Albany,-14,172,-1413
133045,400554,668064,NY,11/1/2017,613,1138,1646,1621,3367,5054,2630,5596,8462,369,1145.665278,776.6652778,1112,3449.215,2337.215,1855,5752.773333,3897.773333,2565,New York,1574,1395,1381
133137,231070,329004,ID,7/1/2016,1040,1887,2841,1492,2704,4111,1945,3522,5381,369,1146.4575,777.4575,641,1989.769444,1348.769444,913,2833.09,1920.09,1093,Boise City,8,22,33
133364,240645,347927,NM,12/1/2019,454,759,1144,749,1242,1838,1044,1726,2533,370,1148.412222,778.4122222,668,2072.220833,1404.220833,966,2996.038056,2030.038056,1099,Albuquerque,7,2,4
133509,235172,336836,MN,4/1/2016,466,1087,1761,545,1461,2503,624,1836,3245,370,1149.660833,779.6608333,653,2025.092222,1372.092222,935,2900.532222,1965.532222,1329,Minneapolis-St Paul,10,21,32
133573,301349,469126,VA,1/1/2014,485,808,1128,956,1674,2655,1428,2540,4182,371,1150.211944,779.2119444,837,2594.949722,1757.949722,1303,4039.696111,2736.696111,1113,Virginia Beach,,,
133599,402013,670428,NY,12/1/2017,554,1167,1692,1459,3080,4826,2364,4994,7960,371,1150.435833,779.4358333,1116,3461.778611,2345.778611,1862,5773.13,3911.13,1003,Buffalo,-1556,-60,-9
133599,402013,670428,NY,12/1/2017,554,1167,1692,1459,3080,4826,2364,4994,7960,371,1150.435833,779.4358333,1116,3461.778611,2345.778611,1862,5773.13,3911.13,1012,Syracuse,8,-51,-1553
133599,402013,670428,NY,12/1/2017,554,1167,1692,1459,3080,4826,2364,4994,7960,371,1150.435833,779.4358333,1116,3461.778611,2345.778611,1862,5773.13,3911.13,1063,Rochester,51,59,0
133599,402013,670428,NY,12/1/2017,554,1167,1692,1459,3080,4826,2364,4994,7960,371,1150.435833,779.4358333,1116,3461.778611,2345.778611,1862,5773.13,3911.13,1150,Albany,147,-1409,87
133599,402013,670428,NY,12/1/2017,554,1167,1692,1459,3080,4826,2364,4994,7960,371,1150.435833,779.4358333,1116,3461.778611,2345.778611,1862,5773.13,3911.13,2559,New York,1496,1547,1555
133610,224927,316244,NV,4/1/2014,834,1892,3105,1214,2773,4561,1594,3653,6017,371,1150.530556,779.5305555,624,1936.871389,1312.871389,878,2723.212222,1845.212222,971,Las Vegas,3,5,10
133654,236062,338471,AZ,7/1/2015,935,1633,2794,1361,2308,4144,1787,2983,5494,371,1150.909444,779.9094444,655,2032.756111,1377.756111,940,2914.611389,1974.611389,957,Tucson,-76,-73,2
133654,236062,338471,AZ,7/1/2015,935,1633,2794,1361,2308,4144,1787,2983,5494,371,1150.909444,779.9094444,655,2032.756111,1377.756111,940,2914.611389,1974.611389,1033,Phoenix,3,78,80
